entity_id,state,last_changed
button.1028_garage_door_opener_door_button,2025-02-02T21:33:21.528854+00:00,2025-02-02T21:50:00.000Z
button.1028_garage_door_opener_door_button,2025-02-02T21:54:09.986044+00:00,2025-02-02T21:54:09.986Z
button.1028_garage_door_opener_door_button,2025-02-02T21:55:24.303932+00:00,2025-02-02T21:55:24.303Z
binary_sensor.1028_garage_door_opener_end_stop_open,off,2025-02-02T21:50:00.000Z
binary_sensor.1028_garage_door_opener_end_stop_open,on,2025-02-02T21:54:21.884Z
binary_sensor.1028_garage_door_opener_end_stop_open,off,2025-02-02T21:55:24.818Z
binary_sensor.1028_garage_door_opener_end_stop_closed,on,2025-02-02T21:50:00.000Z
binary_sensor.1028_garage_door_opener_end_stop_closed,off,2025-02-02T21:54:10.447Z
binary_sensor.1028_garage_door_opener_end_stop_closed,on,2025-02-02T21:55:36.212Z
binary_sensor.1028_garage_door_opener_relay_1_light,off,2025-02-02T21:50:00.000Z
binary_sensor.1028_garage_door_opener_relay_1_light,on,2025-02-02T21:54:10.138Z
binary_sensor.1028_garage_door_opener_relay_2_motor_closing,off,2025-02-02T21:50:00.000Z
binary_sensor.1028_garage_door_opener_relay_2_motor_closing,on,2025-02-02T21:55:24.543Z
binary_sensor.1028_garage_door_opener_relay_2_motor_closing,off,2025-02-02T21:55:36.226Z
binary_sensor.1028_garage_door_opener_relay_3_motor_opening,off,2025-02-02T21:50:00.000Z
binary_sensor.1028_garage_door_opener_relay_3_motor_opening,on,2025-02-02T21:54:10.188Z
binary_sensor.1028_garage_door_opener_relay_3_motor_opening,off,2025-02-02T21:54:21.898Z
